"Source word","First candidate","ACC","ACC-10","F-score","Best matching reference","MRR","MAP_ref","References"
__NE__ L E H,ल े ह,0.000000,1.000000,0.750000,ल े,0.250000,0.000000,"ल े"
__NE__ L A G E K O C H U,ल ा ग े क ो छ ु,1.000000,1.000000,1.000000,ल ा ग े क ो छ ु,1.000000,1.000000,"ल ा ग े क ो छ ु"
__NE__ T O K E Y A,ट ो क े य,0.000000,0.000000,0.666667,त ो क ि ए,0.000000,0.000000,"त ो क ि ए"
__NE__ R O K E,र ो क,0.000000,1.000000,0.833333,र ो क े,0.500000,0.000000,"र ो क े"
__NE__ S A M B H N D A,स म ् भ न ् द,0.000000,1.000000,0.846154,स म ् ब न ् ध,0.500000,0.000000,"स म ् ब न ् ध"
__NE__ T H I T I,थ ि त ि,1.000000,1.000000,1.000000,थ ि त ि,1.000000,1.000000,"थ ि त ि"
__NE__ B A R S H A,ब र ् ष,1.000000,1.000000,1.000000,ब र ् ष,1.000000,1.000000,"ब र ् ष"
__NE__ C H H E M T A,छ े म ् ट ा,0.000000,0.000000,0.545455,क ् ष म त ा,0.000000,0.000000,"क ् ष म त ा"
__NE__ B A G I R A K H N A,ब ग ि र ा ख ् न,1.000000,1.000000,1.000000,ब ग ि र ा ख ् न,1.000000,1.000000,"ब ग ि र ा ख ् न"
__NE__ R A M R I,र ा म ् र ी,1.000000,1.000000,1.000000,र ा म ् र ी,1.000000,1.000000,"र ा म ् र ी"
__NE__ V A A S E,भ ए स ई,0.000000,0.000000,0.857143,भ ए स ी,0.000000,0.000000,"भ ए स ी"
__NE__ H A R E K D I N,ह र े क द ि न,1.000000,1.000000,1.000000,ह र े क द ि न,1.000000,1.000000,"ह र े क द ि न"
__NE__ K H A R T A,ख र ् त,0.000000,1.000000,0.875000,ख र ् त ा,0.500000,0.000000,"ख र ् त ा"
__NE__ K A M J O R,क म ज ो र,1.000000,1.000000,1.000000,क म ज ो र,1.000000,1.000000,"क म ज ो र"
__NE__ P A C H A D I,प छ ा ड ी,0.000000,1.000000,0.888889,प छ ा ड ि,0.500000,0.000000,"प छ ा ड ि"
__NE__ X Y N A,छ ि न,0.000000,1.000000,0.800000,छ ै न,0.500000,0.000000,"छ ै न"
__NE__ P U G N A,प ु ग ् न,1.000000,1.000000,1.000000,प ु ग ् न,1.000000,1.000000,"प ु ग ् न"
__NE__ H E R C A H A,ह े र ् छ,1.000000,1.000000,1.000000,ह े र ् छ,1.000000,1.000000,"ह े र ् छ"
__NE__ G U N A S T A R,ग ु ण स ् त र,1.000000,1.000000,1.000000,ग ु ण स ् त र,1.000000,1.000000,"ग ु ण स ् त र"
__NE__ P R A Y I N G,प ् र े इ ङ,1.000000,1.000000,1.000000,प ् र े इ ङ,1.000000,1.000000,"प ् र े इ ङ"
__NE__ D H E R I I,ध े र ै,1.000000,1.000000,1.000000,ध े र ै,1.000000,1.000000,"ध े र ै"
__NE__ A B S T A,अ ब स ् थ ा,0.000000,1.000000,0.909091,अ व स ् थ ा,0.500000,0.000000,"अ व स ् थ ा"
__NE__ V A I S A K Y O,भ इ स क ् य ो,1.000000,1.000000,1.000000,भ इ स क ् य ो,1.000000,1.000000,"भ इ स क ् य ो"
__NE__ S A K I N X A A,स क ि छ,0.000000,0.000000,0.777778,स क ि न ् छ,0.000000,0.000000,"स क ि न ् छ"
__NE__ K A S T A R I,क स ् त र ी,1.000000,1.000000,1.000000,क स ् त र ी,1.000000,1.000000,"क स ् त र ी"
__NE__ G H A T C H H A,घ ट ् छ,1.000000,1.000000,1.000000,घ ट ् छ,1.000000,1.000000,"घ ट ् छ"
__NE__ S A M V A V,स म ् भ व,1.000000,1.000000,1.000000,स म ् भ व,1.000000,1.000000,"स म ् भ व"
__NE__ H U M E,ह ् य ु म,1.000000,1.000000,1.000000,ह ् य ु म,1.000000,1.000000,"ह ् य ु म"
__NE__ U M A R,उ म र,1.000000,1.000000,1.000000,उ म र,1.000000,1.000000,"उ म र"
__NE__ D U K H X,द ु ख ् छ,1.000000,1.000000,1.000000,द ु ख ् छ,1.000000,1.000000,"द ु ख ् छ"
__NE__ A S O,आ स ो,0.000000,1.000000,0.800000,अ स ो,0.500000,0.000000,"अ स ो"
__NE__ N E E,न ी,1.000000,1.000000,1.000000,न ी,1.000000,1.000000,"न ी"
__NE__ G R E Y R W,ग र े र,0.000000,0.000000,0.750000,ग र ा ए र,0.000000,0.000000,"ग र ा ए र"
__NE__ J A N A M,ज न ् म,1.000000,1.000000,1.000000,ज न ् म,1.000000,1.000000,"ज न ् म"
__NE__ G A H I R O,ग ह ि र ो,1.000000,1.000000,1.000000,ग ह ि र ो,1.000000,1.000000,"ग ह ि र ो"
__NE__ U P A Y A,उ प ा य,1.000000,1.000000,1.000000,उ प ा य,1.000000,1.000000,"उ प ा य"
__NE__ D A J U,द ा ज ु,1.000000,1.000000,1.000000,द ा ज ु,1.000000,1.000000,"द ा ज ु"
__NE__ G A D B A D I,ग ड ब ड ी,1.000000,1.000000,1.000000,ग ड ब ड ी,1.000000,1.000000,"ग ड ब ड ी"
__NE__ V H I Y O,भ ि य ो,0.000000,0.000000,0.833333,भ य ो,0.000000,0.000000,"भ य ो"
__NE__ L A G N I,ल ा ग ् न ी,1.000000,1.000000,1.000000,ल ा ग ् न ी,1.000000,1.000000,"ल ा ग ् न ी"
__NE__ D U I I,द ु ई,1.000000,1.000000,1.000000,द ु ई,1.000000,1.000000,"द ु ई"
__NE__ S O C H N A,स ो च ् न,1.000000,1.000000,1.000000,स ो च ् न,1.000000,1.000000,"स ो च ् न"
__NE__ S A M B H O K M A,स म ् भ ो क म ा,0.000000,0.000000,0.933333,स म ् भ ो ग म ा,0.000000,0.000000,"स म ् भ ो ग म ा"
__NE__ X O R E,छ ो र े,1.000000,1.000000,1.000000,छ ो र े,1.000000,1.000000,"छ ो र े"
__NE__ N A J A N M A U N E,न ज न ् म ा उ न े,1.000000,1.000000,1.000000,न ज न ् म ा उ न े,1.000000,1.000000,"न ज न ् म ा उ न े"
__NE__ H U D H A,ह ु द ा,1.000000,1.000000,1.000000,ह ु द ा,1.000000,1.000000,"ह ु द ा"
__NE__ B A D H A Y K A R A D,ब ढ ा ए क ा र द,0.000000,0.000000,0.642857,ब ध ् य क र ण,0.000000,0.000000,"ब ध ् य क र ण"
__NE__ S A K X A N,स क ् छ न ्,1.000000,1.000000,1.000000,स क ् छ न ्,1.000000,1.000000,"स क ् छ न ्"
__NE__ M A N D A I,म ा न ् द ै,1.000000,1.000000,1.000000,म ा न ् द ै,1.000000,1.000000,"म ा न ् द ै"
__NE__ A A E E R A N,आ इ र ण,0.000000,0.000000,0.857143,आ इ र न,0.000000,0.000000,"आ इ र न"
__NE__ P A R N A,प र ् न,1.000000,1.000000,1.000000,प र ् न,1.000000,1.000000,"प र ् न"
__NE__ J H A R X A,झ र ् छ,1.000000,1.000000,1.000000,झ र ् छ,1.000000,1.000000,"झ र ् छ"
__NE__ S A K C H I N,स क ् छ ि न ्,1.000000,1.000000,1.000000,स क ् छ ि न ्,1.000000,1.000000,"स क ् छ ि न ्"
__NE__ P A R D A C H H A N,प र ् द छ न ्,1.000000,1.000000,1.000000,प र ् द छ न ्,1.000000,1.000000,"प र ् द छ न ्"
__NE__ D E K O,द े क ो,1.000000,1.000000,1.000000,द े क ो,1.000000,1.000000,"द े क ो"
__NE__ L A K X Y A N,ल क ् ष ण,0.000000,0.000000,0.727273,ल क ् ष ् य न,0.000000,0.000000,"ल क ् ष ् य न"
__NE__ K H A A N U,ख ा न ु,1.000000,1.000000,1.000000,ख ा न ु,1.000000,1.000000,"ख ा न ु"
__NE__ P R A B H A V,प ् र भ ा व,1.000000,1.000000,1.000000,प ् र भ ा व,1.000000,1.000000,"प ् र भ ा व"
__NE__ D U R B A S N A,द ु र ् ब स ् न,0.000000,1.000000,0.812500,द ु र ् ब ा स न ा,0.500000,0.000000,"द ु र ् ब ा स न ा"
__NE__ L A K X A N,ल क ् छ न ्,0.000000,1.000000,0.700000,ल क ् ष ण,0.333333,0.000000,"ल क ् ष ण"
__NE__ K H O P,ख ो प,1.000000,1.000000,1.000000,ख ो प,1.000000,1.000000,"ख ो प"
__NE__ L A L I,ल ा ल ी,1.000000,1.000000,1.000000,ल ा ल ी,1.000000,1.000000,"ल ा ल ी"
__NE__ R A K T A,र क ् त,1.000000,1.000000,1.000000,र क ् त,1.000000,1.000000,"र क ् त"
__NE__ P U R O S,प ु र ो स,0.000000,0.000000,0.900000,प ु र ो स ्,0.000000,0.000000,"प ु र ो स ्"
__NE__ R A B A T,र ा ब त,1.000000,1.000000,1.000000,र ा ब त,1.000000,1.000000,"र ा ब त"
__NE__ U P A,उ प,1.000000,1.000000,1.000000,उ प,1.000000,1.000000,"उ प"
__NE__ D H A D,ध ा द,0.000000,1.000000,0.600000,ढ ा ड,0.500000,0.000000,"ढ ा ड"
__NE__ A R K A,अ र ् क,0.000000,1.000000,0.875000,अ र ् क ा,0.500000,0.000000,"अ र ् क ा"
__NE__ D I P O,ड ि प ो,1.000000,1.000000,1.000000,ड ि प ो,1.000000,1.000000,"ड ि प ो"
__NE__ B A D H N E,ब ढ ् न े,1.000000,1.000000,1.000000,ब ढ ् न े,1.000000,1.000000,"ब ढ ् न े"
__NE__ A N B A S T H A M A,अ न ् व स ् थ ा म ा,0.000000,1.000000,0.947368,अ न ् ब स ् थ ा म ा,0.500000,0.000000,"अ न ् ब स ् थ ा म ा"
__NE__ S A K I N C H,स क ि न ् छ,1.000000,1.000000,1.000000,स क ि न ् छ,1.000000,1.000000,"स क ि न ् छ"
__NE__ J A N M A Y E M A,ज न ् म ा ए म ा,1.000000,1.000000,1.000000,ज न ् म ा ए म ा,1.000000,1.000000,"ज न ् म ा ए म ा"
__NE__ G A R A U N E Y,ग र ा उ न े,1.000000,1.000000,1.000000,ग र ा उ न े,1.000000,1.000000,"ग र ा उ न े"
__NE__ B H A S A M A,भ स म ा,0.000000,0.000000,0.666667,भ ा ष ा म ा,0.000000,0.000000,"भ ा ष ा म ा"
__NE__ L H A N E,ल ् ह न े,0.000000,1.000000,0.750000,ल ा न े,0.500000,0.000000,"ल ा न े"
__NE__ H U N E Y,ह ु न े,1.000000,1.000000,1.000000,ह ु न े,1.000000,1.000000,"ह ु न े"
__NE__ B L O O D I N G,ब ् ल ड ि ङ,1.000000,1.000000,1.000000,ब ् ल ड ि ङ,1.000000,1.000000,"ब ् ल ड ि ङ"
__NE__ P A H I L O,प ह ि ल ो,1.000000,1.000000,1.000000,प ह ि ल ो,1.000000,1.000000,"प ह ि ल ो"
__NE__ S A K I N I,स क ि न ी,1.000000,1.000000,1.000000,स क ि न ी,1.000000,1.000000,"स क ि न ी"
__NE__ S W A S T H Y,स ् व स ् थ ् य,1.000000,1.000000,1.000000,स ् व स ् थ ् य,1.000000,1.000000,"स ् व स ् थ ् य"
__NE__ G A U,ग ा उ,1.000000,1.000000,1.000000,ग ा उ,1.000000,1.000000,"ग ा उ"
__NE__ R A G H A T,र ा घ ा ट,0.000000,1.000000,0.428571,र ग त,0.250000,0.000000,"र ग त"
__NE__ Y O U N I K O,य ौ न ी क ो,0.000000,1.000000,0.909091,य ो न ी क ो,0.333333,0.000000,"य ो न ी क ो"
__NE__ G A A R U N E,ग र ु न े,0.000000,0.000000,0.800000,ग र ा उ न े,0.000000,0.000000,"ग र ा उ न े"
__NE__ B A N I,ब न ी,0.000000,1.000000,0.833333,ब ा न ी,0.500000,0.000000,"ब ा न ी"
__NE__ Y O N S A M B A D H,य ो न स म ् ब द ् ध,0.000000,1.000000,0.882353,य ो न स म ् ब ध,0.500000,0.000000,"य ो न स म ् ब ध"
__NE__ B A C H A U N A,ब च ा उ न,1.000000,1.000000,1.000000,ब च ा उ न,1.000000,1.000000,"ब च ा उ न"
__NE__ C H I R A I T O,च ि र ा इ त ो,1.000000,1.000000,1.000000,च ि र ा इ त ो,1.000000,1.000000,"च ि र ा इ त ो"
__NE__ H U N E H,ह ु न े ः,1.000000,1.000000,1.000000,ह ु न े ः,1.000000,1.000000,"ह ु न े ः"
__NE__ B H A N A,भ न,1.000000,1.000000,1.000000,भ न,1.000000,1.000000,"भ न"
__NE__ L A A G N U,ल ा ग ् न ु,1.000000,1.000000,1.000000,ल ा ग ् न ु,1.000000,1.000000,"ल ा ग ् न ु"
__NE__ V H Y A O,भ य ा ओ,0.000000,0.000000,0.666667,भ य ो,0.000000,0.000000,"भ य ो"
__NE__ P R A J N N A,प ् र ज न ् न,1.000000,1.000000,1.000000,प ् र ज न ् न,1.000000,1.000000,"प ् र ज न ् न"
__NE__ C H O T E,छ ो ट े,1.000000,1.000000,1.000000,छ ो ट े,1.000000,1.000000,"छ ो ट े"
